2019-06-28 00:00:00,21112390,1639176256,77.6,78.2,77.4,77.4,0.0,7961
2019-07-01 00:00:00,37776031,2989054094,78.7,79.7,78.6,79.4,2.0,18111
2019-07-02 00:00:00,21546017,1705333449,79.0,79.5,78.7,79.1,-0.3,10787
2019-07-03 00:00:00,30692214,2391526371,78.4,78.8,77.5,77.5,-1.6,14736
2019-07-04 00:00:00,14276447,1111651026,78.0,78.4,77.5,77.7,0.2,6699
2019-07-05 00:00:00,10943297,854395365,77.9,78.3,77.9,78.2,0.5,5367
2019-07-08 00:00:00,19426333,1529428867,78.4,79.0,78.3,79.0,0.8,9232
2019-07-09 00:00:00,21188735,1661393530,79.1,79.1,77.8,77.9,-1.1,9428
2019-07-10 00:00:00,20106457,1568642420,78.7,78.7,77.7,77.9,0.0,8319
2019-07-11 00:00:00,20457120,1601744784,78.1,78.7,77.8,78.2,0.3,9065
2019-07-12 00:00:00,26468868,2058503042,78.0,78.2,77.5,77.6,-0.6,11097
2019-07-15 00:00:00,37340374,2887993512,77.1,78.2,76.1,78.1,0.5,16220
2019-07-16 00:00:00,59184035,4725596800,78.4,80.8,78.4,80.0,1.9,26333
2019-07-17 00:00:00,31741667,2533615702,80.2,80.4,79.3,79.3,-0.7,14300
2019-07-18 00:00:00,20198449,1600873450,79.2,79.7,79.0,79.0,-0.3,8911
2019-07-19 00:00:00,24572592,1957380338,79.6,80.4,79.3,79.3,0.3,10527
2019-07-22 00:00:00,38787555,3116232002,79.5,80.8,79.4,80.6,1.3,16042
2019-07-23 00:00:00,38227545,3090070309,81.1,81.4,80.3,80.9,0.3,16167
2019-07-24 00:00:00,73095922,5936543093,81.2,81.5,80.8,81.3,0.4,27858
2019-07-25 00:00:00,62909028,4935150376,78.0,79.3,77.8,78.6,0.0,27627
2019-07-26 00:00:00,22089564,1733210163,78.4,78.9,78.1,78.4,-0.2,10576
2019-07-29 00:00:00,18209593,1425967829,78.3,78.7,78.0,78.4,0.0,7428
2019-07-30 00:00:00,27716754,2161853958,78.7,78.8,77.6,77.8,-0.6,10594
2019-07-31 00:00:00,24080224,1885916520,78.2,78.7,77.7,78.6,0.8,9103
2019-08-01 00:00:00,31383363,2448631923,77.8,78.4,77.6,77.9,-0.7,13709
2019-08-02 00:00:00,51771742,3932053892,76.5,76.6,75.5,75.5,-2.4,25321
2019-08-05 00:00:00,49484279,3630339605,74.9,74.9,72.6,72.8,-2.7,25954
2019-08-06 00:00:00,40168974,2899786822,71.0,73.6,70.7,73.3,0.5,19447
2019-08-07 00:00:00,26458601,1935659844,73.6,73.9,72.8,72.9,-0.4,12876
2019-08-08 00:00:00,19132614,1401390427,72.8,73.7,72.7,73.1,0.2,8520
2019-08-12 00:00:00,18829546,1386961208,73.2,74.3,72.8,73.7,0.6,9212
2019-08-13 00:00:00,18041979,1319078341,73.8,73.8,72.9,72.9,-0.8,8642
2019-08-14 00:00:00,34110030,2497656890,74.0,74.3,72.6,72.6,-0.3,13839
2019-08-15 00:00:00,29341797,2102556384,71.5,71.9,71.3,71.6,-1.0,14450
2019-08-16 00:00:00,33475801,2407954491,71.4,72.7,71.2,72.0,0.4,14550
2019-08-19 00:00:00,19816447,1437460797,72.5,73.0,72.2,72.4,0.4,9431
2019-08-20 00:00:00,18777661,1361574436,72.5,72.9,72.4,72.4,0.0,8278
2019-08-21 00:00:00,27098920,1989126254,73.0,73.8,72.6,73.5,1.1,12750
2019-08-22 00:00:00,23080538,1702786612,74.0,74.3,73.3,73.9,0.4,9530
2019-08-23 00:00:00,16397789,1203893184,73.5,73.9,73.2,73.3,-0.6,8009
2019-08-26 00:00:00,29641247,2131214083,71.8,72.1,71.6,72.0,-1.3,15334
2019-08-27 00:00:00,37138289,2681293432,72.5,72.6,72.0,72.2,0.2,9144
2019-08-28 00:00:00,14696633,1061042978,72.3,72.5,72.0,72.4,0.2,7462
2019-08-29 00:00:00,20188936,1452837808,72.4,72.4,71.8,71.9,-0.5,9559
2019-08-30 00:00:00,39791593,2926659371,72.8,74.2,72.6,74.2,2.3,16463
2019-09-02 00:00:00,19418490,1437551600,74.4,74.4,73.8,74.0,-0.2,9706
2019-09-03 00:00:00,14880467,1099921236,74.2,74.3,73.6,73.6,-0.4,6761
2019-09-04 00:00:00,31103326,2302854103,73.9,74.5,73.7,74.3,0.7,9126
2019-09-05 00:00:00,26853451,2009112468,74.8,75.3,74.4,74.9,0.6,11720
2019-09-06 00:00:00,29362446,2213894500,75.5,75.9,75.0,75.0,0.1,14340
2019-09-09 00:00:00,20213537,1515871410,75.5,75.7,74.6,74.7,-0.3,9867
2019-09-10 00:00:00,24330390,1802563745,74.8,74.8,73.8,74.1,-0.6,11187
2019-09-11 00:00:00,35738526,2665190390,74.5,75.3,74.2,74.5,0.4,14229
2019-09-12 00:00:00,61561226,4648457642,75.0,76.0,74.6,76.0,1.5,26748
2019-09-16 00:00:00,42605700,3226860951,76.3,76.4,75.0,76.0,0.0,15028
2019-09-17 00:00:00,43926799,3284313874,74.9,75.5,74.5,74.6,-1.4,19504
2019-09-18 00:00:00,33122317,2466647011,74.7,74.9,74.1,74.4,-0.2,13550
2019-09-19 00:00:00,31821479,2354960866,74.6,74.8,73.5,73.5,-0.9,13983
2019-09-20 00:00:00,33927500,2521042744,73.8,74.5,73.8,74.5,1.0,8653
2019-09-23 00:00:00,10657229,794333608,74.5,74.7,74.2,74.7,0.2,5397
2019-09-24 00:00:00,19777743,1481741359,74.7,75.3,74.5,74.9,0.2,7930
2019-09-25 00:00:00,18380995,1369148183,74.7,74.8,74.1,74.8,-0.1,7481
2019-09-26 00:00:00,22665993,1683566362,75.0,75.0,74.0,74.0,-0.8,8846
2019-09-27 00:00:00,25514894,1877490240,74.1,74.3,73.2,73.2,-0.8,11217
2019-10-01 00:00:00,47479934,3442928053,72.2,73.0,72.2,72.6,-0.6,20014
2019-10-02 00:00:00,26526996,1918576398,72.2,72.5,72.2,72.3,-0.3,12200
2019-10-03 00:00:00,28106086,2019549226,71.8,72.2,71.5,72.0,-0.3,13528
2019-10-04 00:00:00,18814662,1360137603,72.2,72.7,72.0,72.7,0.7,9549
2019-10-07 00:00:00,25366095,1866993860,73.4,74.0,73.2,73.4,0.7,11706
2019-10-08 00:00:00,28493260,2105351412,73.9,74.2,73.5,74.0,0.6,11091
2019-10-09 00:00:00,18869984,1382827132,73.5,73.8,72.9,72.9,-1.1,7885
2019-10-14 00:00:00,48248401,3583251274,74.3,74.5,73.8,74.5,1.6,15732
2019-10-15 00:00:00,39991555,2995659383,75.0,75.4,74.5,74.7,0.2,12889
2019-10-16 00:00:00,35414100,2656399981,75.4,75.4,74.7,75.0,0.3,12317
2019-10-17 00:00:00,81667038,6223362226,75.3,77.5,75.0,77.2,2.2,32370
2019-10-18 00:00:00,79307262,6135246690,77.6,78.2,76.9,76.9,-0.3,22232
2019-10-21 00:00:00,32659971,2517240178,77.2,77.6,76.4,77.6,0.7,12693
2019-10-22 00:00:00,84257950,6668430797,78.5,79.8,78.4,79.5,1.9,34399
2019-10-23 00:00:00,89180610,7144162167,80.0,80.9,79.1,80.5,1.0,33358
2019-10-24 00:00:00,40227260,3240812274,80.9,81.2,80.2,80.5,0.0,16658
2019-10-25 00:00:00,35866261,2871800127,80.7,80.7,79.6,80.2,-0.3,14070
2019-10-28 00:00:00,24589303,1976884140,80.5,80.8,80.0,80.1,-0.1,11179
2019-10-29 00:00:00,43338927,3501791877,80.1,81.4,80.1,80.8,0.7,18579
2019-10-30 00:00:00,31199154,2503835220,80.9,80.9,79.7,80.2,-0.6,12486
2019-10-31 00:00:00,39615853,3205652611,81.0,81.4,80.6,80.6,0.4,15447
2019-11-01 00:00:00,126495985,10516290118,81.4,84.8,80.9,84.8,4.2,54653
2019-11-04 00:00:00,157046158,13788215938,86.1,89.1,86.1,89.0,4.2,69524
2019-11-05 00:00:00,114554576,10282369664,90.0,90.4,89.1,90.0,1.0,49127
2019-11-06 00:00:00,102692823,9247509770,90.5,90.9,88.9,90.4,0.4,43449
2019-11-07 00:00:00,91907245,8308738401,90.4,91.0,89.8,90.8,0.4,36793
2019-11-08 00:00:00,107939604,9898925887,91.2,92.9,90.9,90.9,0.1,48100
2019-11-11 00:00:00,113464283,10036725149,91.0,91.3,86.7,87.9,-3.0,47982
2019-11-12 00:00:00,87919854,7892657442,89.1,91.0,88.7,91.0,3.1,37303
2019-11-13 00:00:00,53336137,4788176972,90.0,90.6,89.2,89.7,-1.3,23412
2019-11-14 00:00:00,89212854,8050458022,91.4,91.4,89.3,89.3,-0.4,30500
2019-11-15 00:00:00,43552570,3928041685,90.7,90.8,89.8,90.1,0.8,18749
2019-11-18 00:00:00,35921688,3244631720,90.1,90.7,89.9,90.5,0.4,14611
2019-11-19 00:00:00,109575561,10092721829,90.5,92.8,90.3,92.8,2.3,47352
2019-11-20 00:00:00,44527871,4089310578,92.8,92.8,91.2,91.9,-0.9,20426
2019-11-21 00:00:00,52752786,4825030164,91.2,92.5,90.7,92.5,0.6,20606
2019-11-22 00:00:00,30090529,2765280631,93.0,93.0,91.3,91.4,-1.1,15802
2019-11-25 00:00:00,56144076,5046637379,91.6,91.6,89.0,89.6,-1.8,24137
2019-11-26 00:00:00,74419119,6692787107,90.4,90.4,89.4,89.9,0.3,14304
2019-11-27 00:00:00,21007877,1895290466,89.6,90.8,89.6,90.6,0.7,10282
2019-11-28 00:00:00,19363801,1748262807,90.6,90.7,89.7,89.8,-0.8,9626
2019-11-29 00:00:00,37756546,3364546289,90.0,90.5,88.2,88.5,-1.3,16445
2019-12-02 00:00:00,31236074,2746751820,88.6,89.3,86.8,88.6,0.1,14896
2019-12-03 00:00:00,34645279,3100405770,88.3,90.3,87.8,90.0,1.4,14042
2019-12-04 00:00:00,26034634,2322526955,90.0,90.0,88.7,89.5,-0.5,9926
2019-12-05 00:00:00,19851813,1788613637,90.0,90.7,89.6,89.9,0.4,9419
2019-12-06 00:00:00,20657992,1864481080,90.6,90.9,89.7,90.5,0.6,10122
2019-12-09 00:00:00,39013354,3554471708,90.8,91.7,90.3,91.0,0.5,16974
2019-12-10 00:00:00,14192519,1282178710,90.5,90.8,90.1,90.3,-0.7,6932
2019-12-11 00:00:00,32362218,2944889438,90.5,91.3,90.4,91.3,1.0,14049
2019-12-12 00:00:00,32664180,2991238892,92.0,92.2,91.0,91.0,-0.3,13263
2019-12-13 00:00:00,33488249,3060261787,92.0,92.0,90.9,91.0,0.0,15711
2019-12-16 00:00:00,34055107,3121729569,91.5,92.4,91.1,91.6,0.6,14433
2019-12-17 00:00:00,31166098,2846439695,91.8,91.9,91.1,91.6,0.0,12212
2019-12-18 00:00:00,58840462,5427958104,91.6,92.8,91.1,92.4,0.8,24632
2019-12-19 00:00:00,28904382,2653486845,92.0,92.2,91.3,92.2,-0.2,11949
2019-12-20 00:00:00,39064336,3573523990,92.5,92.6,91.1,91.1,-1.1,11011
2019-12-23 00:00:00,17511564,1595581554,91.3,91.7,90.7,91.5,0.4,8301
2019-12-24 00:00:00,11775451,1072386883,91.5,91.5,90.8,90.9,-0.6,5935
2019-12-25 00:00:00,11310473,1029248360,91.1,91.3,90.8,91.0,0.1,6353
2019-12-26 00:00:00,10097183,917789491,91.0,91.3,90.7,90.8,-0.2,5517
2019-12-27 00:00:00,20188995,1848289316,91.4,91.9,91.1,91.5,0.7,8406
2019-12-30 00:00:00,15811376,1442350252,91.6,91.8,90.9,90.9,-0.6,6646
2019-12-31 00:00:00,14491239,1317119661,90.7,91.4,90.7,90.8,-0.1,6530
